Bilateral 4 digits,Importers,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Exported value in 2025
,World,213,531,411,295,430
,United Kingdom,,,,119,249
,United Arab Emirates,,,1,0,123
,South Sudan,12,413,36,8,24
,"Congo, Democratic Republic of the",167,38,183,125,14
,Rwanda,,1,3,28,11
,South Africa,0,,,,3
,Kenya,3,65,185,2,2
,"Tanzania, United Republic of",,4,1,,2
,Italy,,,,,1
,Burundi,30,8,2,9,
,China,,,1,2,
,Denmark,0,,,,
,France,,,,2,
,Malaysia,,,,1,
,Nigeria,,,0,,
,Senegal,,2,,,
